DATAFLOW,LAST UPDATE,freq,unit,nace_r2,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CZ,2017,2467,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CZ,2018,2478,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CZ,2019,2139,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,CZ,2020,174,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2011,66828,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2012,64507,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2013,64892,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2014,66054,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2015,62092,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2016,64467,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2017,53142,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2018,47652,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2019,44502,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DE,2020,40587,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2011,1130,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2012,1185,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2013,1259,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2014,1203,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2015,1049,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2016,1157,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2017,1192,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2018,1302,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2019,1183,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,DK,2020,1549,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2011,313,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2012,271,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2013,381,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2014,376,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2015,304,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2016,286,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2017,244,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2018,312,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2019,237,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EE,2020,311,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2011,218,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2012,297,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2013,196,
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2014,89,b
ESTAT:HSW_N2_01(1.0),28/02/2023 23:00,A,NR,A,T,EL,2015,91,
