DATAFLOW,LAST UPDATE,freq,nace_r2,indic_sb,size_emp,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CY,2015,17700,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CY,2016,19754,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CY,2017,24535,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CY,2018,29003,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CY,2019,32731,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CY,2020,34843,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2011,242810,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2012,236215,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2013,221473,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2014,213567,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2015,211653,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2016,208422,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2017,208256,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2018,210072,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2019,212743,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,CZ,2020,213145,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2011,1584664,
ESTAT:SBS_SC_CON_R2(1.0),15/03/2023 23:00,A,F,V16130,TOTAL,DE,2012,1730686,
